Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_052.jpg;1.509484;1;0;2.214753;102.86;87.53786;1.318174;39.91858;-0.001975141
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_118.jpg;4.567019;1;0;2.274527;102.9635;87.62646;1.301572;40.24434;0.002182915
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_185.jpg;7.518031;1;0;2.31552;103.1014;87.75065;1.285839;41.24286;0.04769965
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_252.jpg;10.51172;1;0;2.356146;103.2035;87.84845;1.237314;42.42578;0.1019401
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_319.jpg;13.49903;1;0;2.409589;103.3033;87.9508;1.141588;43.97218;0.1847294
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_384.jpg;15;1;0;2.447012;103.4313;88.095;0.941096;46.53614;0.3619275
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_452.jpg;15;1;0;2.486631;103.5241;88.20839;0.7480159;48.54861;0.5214081
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_519.jpg;15;1;0;2.538868;103.614;88.32645;0.5360233;50.56928;0.7081794
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_584.jpg;15;0.9015931;0;2.576832;103.7292;88.4907;0.2211819;53.27748;0.9787689
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_652.jpg;15;0.7027246;0;2.609459;103.8116;88.61825;359.951;55.28798;1.180945
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_718.jpg;11.98754;0.5018939;0;2.634771;103.8948;88.75023;359.8667;56.9908;1.215961
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_786.jpg;8.958032;0.2999267;0;2.648915;104.0043;88.93314;359.9865;58.86118;1.099303
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_852.jpg;5.925669;0.09776919;0;2.652566;104.0826;89.07241;0.04528525;59.92413;1.013783
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_918.jpg;2.95675;0;0;2.647359;104.1591;89.21166;0.06005846;60.63703;0.9366405
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_14_986.jpg;0;0;0;2.639067;104.2609;89.39596;0.03926371;60.99113;0.8037798
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_052.jpg;0;0;0;2.630313;104.337;89.53322;0.0006734006;61.0327;0.6895822
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_118.jpg;0;0;0;2.618739;104.4126;89.66985;359.9477;61.04153;0.5731787
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_186.jpg;0;0;0;2.610035;104.5129;89.85113;359.8608;61.04424;0.417691
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_252.jpg;0;0;0;2.601309;104.5877;89.98645;359.7879;61.04505;0.303575
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_319.jpg;0;0;0;2.589644;104.6621;90.12127;359.7115;61.04565;0.1938787
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_386.jpg;0;0;0;2.580875;104.7611;90.30035;359.6135;61.04403;0.05239242
D:\root\robotics\Project_1\Windows_Roversim\recordings\my_run\IMG\robocam_2017_11_09_19_38_15_453.jpg;0;0;0;2.571866;104.8351;90.4343;359.5499;61.04227;359.9509
